Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoints,AwayPoints,HomeLast5Points,AwayLast5Points,HomeLast5HomePoints,AwayLast5AwayPoints,HomeWinRateLastHome,AwayWinRateLastAway,HomeAvgGoalsScoredLast5,HomeAvgGoalsConcededLast5,AwayAvgGoalsScoredLast5,AwayAvgGoalsConcededLast5,HomeAvgShotsLast5,AwayAvgShotsLast5,HomeAvgShotsOnTargetLast5,AwayAvgShotsOnTargetLast5,HomeAvgShotsConcededLast5,AwayAvgShotsConcededLast5,HomeXG,AwayXG,HomeAvgXGLast5,HomeAvgXGConcededLast5,AwayAvgXGLast5,AwayAvgXGConcededLast5,HomeSquadValueEur,AwaySquadValueEur,HomeTransfersIn,HomeTransfersOut,HomeNetTransferSpendEur,AwayTransfersIn,AwayTransfersOut,AwayNetTransferSpendEur,HomeTablePosition,AwayTablePosition,TablePointsGap,HomeDaysRest,AwayDaysRest,H2HHomeTeamWinRate,H2HAwayTeamWinRate,H2HDrawRate,H2HMatchesPlayed,HomeAvgSecondHalfGoalsScoredLast5,HomeAvgSecondHalfGoalsConcededLast5,AwayAvgSecondHalfGoalsScoredLast5,AwayAvgSecondHalfGoalsConcededLast5,HomeElo,AwayElo,EloDifference,HomeTeamOverallElo,AwayTeamOverallElo,OverallEloDifference
E0,2014-08-30,Swansea,West Brom,3.0,0.0,H,2.0,0.0,H,15.0,16.0,8.0,2.0,10.0,8.0,0.0,7.0,1.0,2.0,0.0,0.0,3,0,6,2,3,1,1.0,0.0,1.5,0.5,1.0,1.0,7.5,9.0,4.5,3.5,13.0,7.5,2.02641,0.696665,0.5961455,1.0048405,1.1746105,0.8288770000000001,45990000.0,126250000.0,3,2,-2550000.0,0,2,0.0,4,12,4,7,7,0.5,0.5,0.0,0,0.5,0.5,0.5,0.5,1509.0442270878407,1500.0191811216466,9.025045966194057,1508.5720624443193,1500.2112978583566,8.36076458596267
E0,2014-08-30,West Ham,Southampton,1.0,3.0,A,1.0,1.0,D,4.0,18.0,2.0,8.0,11.0,13.0,2.0,9.0,2.0,1.0,0.0,0.0,0,3,3,1,0,0,0.0,0.0,1.5,1.0,0.5,1.0,17.5,10.0,6.0,4.0,9.5,10.0,0.635223,1.57513,1.5963349999999998,0.8171715,1.1091665000000002,0.9988555,83350000.0,135000000.0,4,0,27250000.0,3,4,-100030000.0,8,15,2,7,7,0.5,0.5,0.0,0,0.5,1.0,0.5,0.5,1491.7621452116302,1493.6163449960302,-1.8541997843999525,1499.993022840559,1496.7985819371918,3.1944409033671946
E0,2014-08-30,QPR,Sunderland,1.0,0.0,H,1.0,0.0,H,18.0,16.0,5.0,6.0,8.0,9.0,4.0,6.0,1.0,2.0,0.0,0.0,3,0,0,2,0,1,0.0,0.0,0.0,2.5,1.5,1.5,14.0,9.0,3.5,2.5,14.5,10.0,1.27277,0.964343,1.48842,1.7532549999999998,0.829195,1.3124935,27100000.0,85600000.0,0,1,0.0,1,3,1900000.0,20,12,-2,6,6,0.5,0.5,0.0,0,0.0,1.0,0.5,0.5,1492.3376135824915,1499.5965854049334,-7.258971822441936,1485.6928257037277,1500.6277165757162,-14.9348908719885
E0,2014-08-30,Newcastle,Crystal Palace,3.0,3.0,D,1.0,1.0,D,18.0,12.0,4.0,7.0,12.0,19.0,11.0,4.0,1.0,3.0,0.0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,1.0,1.0,2.5,11.5,6.5,2.0,3.0,11.0,15.5,1.69776,1.66056,0.8324389999999999,0.9940275,0.38771700000000003,1.44684,95750000.0,100250000.0,4,2,11900000.0,1,1,-1800000.0,18,19,1,7,7,0.5,0.5,0.0,0,0.0,0.5,0.5,1.0,1483.904321776438,1492.1257827676843,-8.221460991246204,1493.4981601012578,1491.9509411490983,1.5472189521594828
E0,2014-08-30,Man City,Stoke,0.0,1.0,A,0.0,0.0,D,16.0,7.0,2.0,2.0,14.0,5.0,11.0,4.0,2.0,1.0,0.0,0.0,0,3,6,1,3,1,1.0,0.0,2.5,0.5,0.5,1.0,11.0,15.5,4.5,2.5,11.5,8.0,0.891768,0.299792,1.3971399999999998,0.933736,1.016264,0.8899745,186650000.0,82500000.0,3,1,17500000.0,0,0,0.0,3,17,5,5,6,0.5,0.5,0.0,0,1.5,0.5,0.5,0.5,1510.1340769416863,1499.507774879117,10.626302062569266,1513.114877582624,1495.6378061367582,17.47707144586593
E0,2014-08-30,Everton,Chelsea,3.0,6.0,A,1.0,2.0,A,17.0,12.0,7.0,8.0,7.0,16.0,8.0,2.0,1.0,3.0,0.0,0.0,0,3,2,6,1,3,0.0,1.0,2.0,2.0,2.5,0.5,10.5,19.0,2.5,6.5,12.0,7.5,1.4491,2.02665,0.9737815,1.355925,2.079675,0.46101749999999997,115400000.0,156650000.0,4,2,40160000.0,9,7,-34760000.0,13,3,-4,7,7,0.5,0.5,0.0,0,0.0,1.5,1.0,0.0,1500.9522472290696,1513.2136915092467,-12.261444280177102,1500.8033581641005,1511.7452558898847,-10.941897725784202
E0,2014-08-30,Burnley,Man United,0.0,0.0,D,0.0,0.0,D,9.0,7.0,3.0,2.0,10.0,14.0,3.0,6.0,2.0,2.0,0.0,0.0,1,1,0,1,0,1,0.0,0.0,0.5,2.0,1.0,1.5,10.5,12.0,1.5,4.0,10.5,8.0,0.513746,0.467281,0.607236,1.5220875,1.0539535,0.4722825,60300000.0,313800000.0,0,0,0.0,8,3,72250000.0,20,17,-1,7,6,0.5,0.5,0.0,0,0.0,0.0,0.5,0.5,1486.7863084907533,1498.341152253501,-11.554843762747623,1488.8710407014564,1495.1206272263516,-6.249586524895221
E0,2014-08-31,Aston Villa,Hull,2.0,1.0,H,2.0,0.0,H,11.0,9.0,4.0,3.0,9.0,10.0,3.0,7.0,1.0,4.0,0.0,0.0,3,0,4,4,1,3,0.0,1.0,0.5,0.0,1.0,0.5,8.0,10.0,1.0,3.0,11.5,19.0,0.639316,0.28888,0.7086494999999999,0.5613315,0.9938724999999999,1.754915,76800000.0,48900000.0,0,1,0.0,2,1,6750000.0,8,7,0,8,7,0.5,0.5,0.0,0,0.5,0.0,0.5,0.5,1496.9080015739228,1507.6623864175085,-10.75438484358574,1502.5700820897619,1504.0773057691958,-1.5072236794339915
E0,2014-08-31,Leicester,Arsenal,1.0,1.0,D,1.0,1.0,D,9.0,24.0,3.0,6.0,14.0,6.0,5.0,10.0,3.0,1.0,0.0,0.0,1,1,1,4,1,1,0.0,0.0,1.0,2.0,2.0,1.5,8.5,13.5,3.5,4.5,20.0,6.0,0.809743,2.29649,0.914597,1.3213314999999999,1.49383,0.7462205,45900000.0,171750000.0,0,0,0.0,6,1,66730000.0,18,6,-3,8,8,0.5,0.5,0.0,0,0.5,1.0,1.5,0.0,1499.3455309008687,1499.0477527709304,0.29777812993825137,1494.534355315173,1503.4609850016232,-8.92662968645027
E0,2014-08-31,Tottenham,Liverpool,0.0,3.0,A,0.0,1.0,A,7.0,17.0,1.0,8.0,14.0,11.0,7.0,3.0,0.0,4.0,0.0,0.0,0,3,6,3,3,0,1.0,0.0,2.5,0.0,1.5,2.0,14.0,11.5,4.5,4.0,13.5,10.5,0.48592,2.74317,1.7029999999999998,1.464635,1.1169045,1.433115,186700000.0,135100000.0,2,2,7550000.0,9,4,24210000.0,4,11,3,7,6,0.5,0.5,0.0,0,1.0,0.0,1.0,1.5,1520.951962175036,1489.8659230583137,31.086039116722304,1514.594908481703,1498.1247890311417,16.470119450561242
